City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Umm Lajj,SA,89.02,overcast clouds,25.0213,37.2685,Moon light Furnished Units
383,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
385,Gambela,ET,79.43,light rain,8.25,34.5833,Solomon Debebe Hotel
386,Cabo Rojo,PR,87.73,few clouds,18.0866,-67.1457,Hotel Perichi's
389,Svetlogorsk,BY,78.76,moderate rain,52.6333,29.7333,Hotel Svetlogorsk JBIK
391,Cabinda,AO,78.94,broken clouds,-5.55,12.2,Hotel Maiombe
392,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
404,Nampula,MZ,76.95,scattered clouds,-15.1165,39.2666,BUTIK Hotel
406,Carutapera,BR,86.13,few clouds,-1.195,-46.02,Lidera
407,Mangrol,IN,82.11,moderate rain,21.1167,70.1167,Hotel The Royal Honours
416,Caxias,PT,82.22,few clouds,38.7031,-9.2767,Hotel Real Oeiras
418,Piranshahr,IR,80.19,clear sky,36.701,45.1413,مسافر خانه سعدی
424,Dostpur,IN,84.69,overcast clouds,26.2833,82.4667,SIR JOHN B.M.
428,Mayumba,GA,77.61,scattered clouds,-3.432,10.6554,LIKWALE LODGE
430,Lulea,SE,75.27,clear sky,65.5842,22.1547,Comfort Hotel Arctic
431,Harlingen,US,83.89,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
432,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
433,Rock Sound,BS,82.98,clear sky,24.9,-76.2,Rock Sound Club
434,Casa Nova,BR,87.78,clear sky,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
440,Laguna,US,81.1,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
441,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
447,Westport,US,77.27,broken clouds,41.1415,-73.3579,The Westport Inn
451,Stryn,NO,75.15,overcast clouds,61.9045,6.7226,Visnes Hotel Stryn
453,Mitsamiouli,KM,77.56,few clouds,-11.3847,43.2844,Foyer ADM
457,Makurdi,NG,85.93,overcast clouds,7.7411,8.5121,Doo Palace Hotel
458,Salinopolis,BR,84.2,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
460,Manacapuru,BR,84.78,clear sky,-3.2997,-60.6206,Novo Hotel
465,Madison,US,85.1,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
466,Boly,HU,86.68,clear sky,45.9672,18.5183,Family Inn
467,Itaituba,BR,89.76,few clouds,-4.2761,-55.9836,Hotel Campos
469,Aquiraz,BR,87.22,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
472,Itarema,BR,88.84,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
477,Tahoua,NE,89.58,few clouds,14.8888,5.2692,Bungalows Guesthouse
478,Natal,BR,86.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
480,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
481,Cape Coast,GH,80.94,broken clouds,5.1053,-1.2466,Samrit Hotel
487,Mahibadhoo,MV,83.12,overcast clouds,3.7833,72.9667,Omadhoo Inn
488,Shirochanka,RU,84.99,clear sky,46.6497,38.3978,Эко-кемпинг St. Agria
490,Pizarro,CO,81.77,scattered clouds,4.9533,-77.366,Hotel Limonar
491,Ardesen,TR,78.76,scattered clouds,41.1911,40.9875,Green Suada Hotel
493,Piritiba,BR,85.57,clear sky,-11.7303,-40.5553,Pousada Capim Guine
496,Bogande,BF,88.29,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
500,Benguela,AO,75.88,few clouds,-12.5763,13.4055,Hotel Praia Morena
504,Podor,MR,89.92,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
505,Janakkala,FI,76.3,broken clouds,60.9,24.6,Sun Hotels Oy
508,Menongue,AO,80.58,clear sky,-14.6585,17.691,Ritz Lauca
509,Manaure,CO,85.21,scattered clouds,11.7751,-72.4445,Hotel Palaaima
512,Iberia,US,87.96,clear sky,29.9502,-91.7507,back to back rv park
514,Shubarkuduk,KZ,80.51,clear sky,49.1447,56.4872,Sirius
516,Maragheh,IR,82.67,few clouds,37.3917,46.2398,Maragheh Grand Hotel
518,Chama,CH,79.92,scattered clouds,47.1821,8.4636,City Garden Hotel
522,San Antero,CO,81.91,scattered clouds,9.3741,-75.7589,Villamarina Inn chale
530,Mwense,ZM,85.73,clear sky,-10.3845,28.698,Mwense Council Guest House
532,Puri,IN,83.37,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
533,Belmopan,BZ,85.28,overcast clouds,17.25,-88.7667,Villa San Juan
535,Jeremie,HT,83.68,scattered clouds,18.65,-74.1167,Auberge’Inn
536,Trairi,BR,88.07,broken clouds,-3.2778,-39.2689,janelas do mar
540,Hobyo,SO,79.83,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
541,High Rock,BS,86.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
544,Estelle,US,89.01,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
546,Sao Gabriel Da Cachoeira,BR,78.6,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
549,Naliya,IN,82.96,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
554,Dunmore Town,BS,83.32,clear sky,25.5,-76.65,Coral Sands Hotel
558,Jamuria,IN,80.31,light rain,23.7,87.0833,Sunil Murmu ᱥᱩᱱᱤᱞ ᱢᱩᱨᱢᱩ
562,Uvinza,TZ,88.41,clear sky,-5.1036,30.3911,Crown Lodge
564,La Palma,US,83.35,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
565,Leo,BF,85.98,overcast clouds,11.1,-2.1,Hotel Sissilis
566,Kilindoni,TZ,76.46,clear sky,-7.9139,39.6668,Bustani B&B
567,Harper,LR,80.22,overcast clouds,4.375,-7.7169,Screensaver
571,Caala,AO,76.53,clear sky,-12.8525,15.5606,Adymuzik Oficial
572,Kasungu,MW,76.42,clear sky,-13.0333,33.4833,Mame Motel
577,Alibag,IN,84.27,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
580,Niort,FR,78.3,broken clouds,46.3333,-0.3333,Hôtel Première Classe Niort La Crèche
581,Mtwara,TZ,80.01,few clouds,-10.2667,40.1833,TIL Hotels Mtwara
586,Gasa,PS,89.91,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
590,Jvari,GE,77.25,light rain,42.7169,42.052,Savanna House
592,Bocanda,CI,85.75,overcast clouds,7.0626,-4.4995,Hôtel les Résidences Mohyé
593,George Town,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
596,New Lenox,US,83.91,clear sky,41.512,-87.9656,Healthy Hype
597,Mahon,ES,86.56,clear sky,39.8885,4.2658,ARTIEM Capri
601,Nankana Sahib,PK,86.25,overcast clouds,31.4475,73.6972,Nankana Resort
603,Birjand,IR,86.47,clear sky,32.8663,59.2211,Birjand Tourist Hotel
604,Andros Town,BS,87.76,scattered clouds,24.7,-77.7667,Hanks place
613,Aqtobe,KZ,78.89,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
615,Moroni,KM,75.96,clear sky,-11.7022,43.2551,Hotel les Arcades
617,Novy Bydzov,CZ,80.17,few clouds,50.2415,15.4908,TATRA HOTEL
619,Odweyne,SO,79.48,overcast clouds,9.4092,45.064,Eng Hiirey House
624,Banikoara,BJ,82.17,moderate rain,11.2985,2.4386,Hôtel de l'UCom CVPC
628,Kathmandu,NP,75.42,moderate rain,27.7167,85.3167,Hotel Shanker Kathmandu
631,Midland,US,78.06,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
635,Sarh,TD,85.91,scattered clouds,9.1429,18.3923,Domicile 1sur le goudron
637,Markapur,IN,86.25,overcast clouds,15.7333,79.2833,VIHARI GRAND INN
638,San Pedro,PH,83.16,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
641,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
644,Pasni,PK,82.09,overcast clouds,25.2631,63.471,Kashmiri Hotal
645,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
647,Libreville,GA,80.62,few clouds,0.3925,9.4537,Hotel Re-Ndama
653,Ouesso,CG,87.73,overcast clouds,1.6136,16.0517,ABENIE Hotel
654,Matara,LK,79.34,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
658,Pallasovka,RU,85.37,overcast clouds,50.05,46.8833,"Hotel ""Natalia"""
660,Kyrylivka,UA,81.45,clear sky,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
666,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
667,Sapouy,BF,85.48,overcast clouds,11.5544,-1.7736,Auberge St Louis
668,Erkner,DE,79.99,clear sky,52.4167,13.75,DämeritzSeehotel
672,Wana,PK,81.64,clear sky,32.2989,69.5725,Rest House at Wana Camp
674,Piacabucu,BR,81.45,clear sky,-10.4056,-36.4344,Piaçabuçu News
677,Sembabule,UG,79.74,overcast clouds,-0.0772,31.4567,Rainbow Motel ( Sembabule )
678,Sosua,DO,85.51,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
679,Chabahar,IR,86.38,overcast clouds,25.2919,60.643,هتل گدروشیا
681,Colares,PT,82.08,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
684,Nueva Gorgona,PA,86.29,overcast clouds,8.55,-79.8667,Coronado Luxury Club & Suites
685,Totness,SR,83.43,clear sky,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
686,Bonthe,SL,81.88,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
689,Borsodnadasd,HU,85.57,clear sky,48.1167,20.25,Vén Diófa Kúria
691,Nakasongola,UG,75.52,overcast clouds,1.3089,32.4564,Norena Hotel Nakasongola
692,Matoury,GF,87.76,light rain,4.8483,-52.3317,Hôtel La Marmotte
