City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Bandarbeyla,SO,9.4942,50.8122,79.74,72,100,34.23,overcast clouds
278,Aswan,EG,24.0934,32.907,108.7,12,0,11.5,clear sky
279,Elizabeth City,US,36.2946,-76.2511,84.25,80,1,1.99,clear sky
280,Puerto Del Rosario,ES,28.5004,-13.8627,80.28,73,20,17.27,few clouds
281,George,ZA,-33.963,22.4617,56.75,82,40,8.05,scattered clouds
282,Kavaratti,IN,10.5669,72.642,82.22,79,91,14.92,overcast clouds
283,Axim,GH,4.8699,-2.2405,82.11,61,96,7.87,overcast clouds
284,Sao Francisco,BR,-15.9486,-44.8644,78.62,32,0,8.03,clear sky
285,Itapirapua,BR,-15.8233,-50.6133,71.35,18,0,13.2,clear sky
286,Avesta,SE,60.1455,16.1679,66.4,66,62,10.63,moderate rain
287,Lonar,IN,19.9833,76.5333,75.0,79,100,11.39,overcast clouds
288,Charyshskoye,RU,51.3978,83.5598,61.77,72,100,3.71,overcast clouds
289,Tessalit,ML,20.1986,1.0114,103.44,22,22,9.8,few clouds
290,Ler,SS,8.3018,30.1418,83.12,69,97,5.21,overcast clouds
291,Fort-Shevchenko,KZ,44.5086,50.263,82.71,44,0,13.87,clear sky
292,Laranjeiras Do Sul,BR,-25.4078,-52.4161,40.89,47,8,6.78,clear sky
293,Sidi Ali,DZ,36.0998,0.4206,85.89,57,9,9.93,clear sky
294,Buraydah,SA,26.326,43.975,109.85,8,85,12.8,overcast clouds
295,Benghazi,LY,32.1167,20.0667,85.6,62,0,17.18,clear sky
296,Baymak,RU,52.5933,58.3225,71.4,31,54,9.93,broken clouds
297,Saint-Augustin,CA,51.226,-58.6502,59.2,79,89,8.34,overcast clouds
298,Thompson,CA,55.7435,-97.8558,60.96,63,20,2.3,few clouds
299,Igrim,RU,63.1906,64.4162,53.35,68,81,4.52,broken clouds
300,Ravar,IR,31.2656,56.8055,92.64,10,12,18.43,few clouds
301,The Valley,AI,18.217,-63.0578,85.1,83,20,17.27,few clouds
302,Ikom,NG,5.9667,8.7063,88.29,52,39,4.16,scattered clouds
303,Saint-Joseph,RE,-21.3667,55.6167,70.18,79,26,17.98,light rain
304,Palafrugell,ES,41.9174,3.1631,92.14,50,1,3.0,clear sky
305,Veinticinco De Mayo,AR,-35.4323,-60.1727,48.06,57,0,5.01,clear sky
306,Eregli,TR,37.5133,34.0467,84.63,24,0,8.1,clear sky
307,Constitucion,CL,-35.3333,-72.4167,54.68,55,0,3.65,clear sky
308,Jacareacanga,BR,-6.2222,-57.7528,82.71,57,0,6.91,clear sky
309,Kamenka,RU,51.3223,42.7678,85.86,37,72,11.27,broken clouds
310,Santa Maria,BR,-29.6842,-53.8069,45.7,61,0,8.05,clear sky
311,Hambantota,LK,6.1241,81.1185,84.54,74,20,13.8,few clouds
312,Medea,DZ,36.2642,2.7539,79.25,17,8,9.46,clear sky
313,Belmonte,BR,-15.8631,-38.8828,82.9,64,4,7.52,clear sky
314,Yadgir,IN,16.7667,77.1333,76.15,81,100,14.36,overcast clouds
315,Kosh-Agach,RU,50.0,88.6667,58.68,37,99,2.08,overcast clouds
316,Bereda,ES,43.2686,-7.5406,78.42,28,0,3.09,clear sky
317,Gat,IL,31.61,34.7642,92.39,41,0,14.07,clear sky
318,Kivertsi,UA,50.8343,25.4582,80.92,57,39,10.42,scattered clouds
319,Olinda,BR,-8.0089,-34.8553,80.33,69,40,6.91,scattered clouds
320,Mgandu,TZ,-5.95,34.1333,79.0,24,0,7.07,clear sky
321,Santa Ana,US,33.7456,-117.8678,79.36,81,20,3.44,few clouds
322,Araguacu,BR,-12.9306,-49.8264,81.73,31,0,10.25,clear sky
323,Havelock,US,34.8791,-76.9013,84.06,84,0,5.01,clear sky
324,Huarmey,PE,-10.0681,-78.1522,66.31,80,65,5.84,broken clouds
325,Itupiranga,BR,-5.1347,-49.3267,89.92,39,61,1.48,broken clouds
326,Holme,DK,56.1138,10.1725,63.18,68,96,20.67,overcast clouds
327,Madimba,TZ,-10.4,40.3333,78.6,58,0,16.53,clear sky
328,Baie-Comeau,CA,49.2168,-68.1489,66.2,67,1,12.66,clear sky
329,Bridlington,GB,54.0831,-0.1919,66.38,79,93,23.91,overcast clouds
330,Inirida,CO,3.8653,-67.9239,81.25,76,56,1.88,broken clouds
331,Coquimbo,CL,-29.9533,-71.3436,47.93,81,40,3.44,scattered clouds
332,Abu Kamal,SY,34.4506,40.9171,104.76,13,0,16.98,clear sky
333,Dwarka,IN,22.2394,68.9678,82.9,83,100,25.03,overcast clouds
334,Indiana,US,40.0003,-86.2503,79.97,83,90,4.61,overcast clouds
335,Porto Real,BR,-22.4197,-44.2903,63.12,35,5,4.34,clear sky
336,Lodwar,KE,3.1191,35.5973,89.44,32,32,8.99,scattered clouds
337,Fredericton,CA,45.9454,-66.6656,70.38,52,1,1.01,clear sky
338,Polunochnoye,RU,60.8697,60.4153,55.49,52,95,5.53,overcast clouds
339,Kismayo,SO,-0.3582,42.5454,77.94,70,99,18.99,overcast clouds
340,Rustenburg,ZA,-25.6676,27.2421,71.8,14,0,11.21,clear sky
341,Pangody,RU,65.85,74.4859,62.29,74,86,14.32,light rain
342,Yar-Sale,RU,66.8333,70.8333,52.38,88,100,6.24,heavy intensity rain
343,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.38,30,0,10.74,clear sky
